Rho;N_Neurons;MSE_Test;MSE_Train;Variance;Regularized_Error;Time
1.00E-05;5;0.184;0.048;0.136;0.05;24.89513707
0.0001;5;0.246;0.06;0.186;0.067;21.97555113
0.001;5;0.309;0.062;0.247;0.103;12.2956028
0.01;5;0.244;0.125;0.119;0.374;6.471336842
1.00E-05;7;0.193;0.029;0.164;0.03;20.73768759
0.0001;7;0.222;0.029;0.193;0.034;20.35870123
0.001;7;0.225;0.033;0.192;0.065;21.0110209
0.01;7;0.16;0.083;0.077;0.298;18.5561862
1.00E-05;9;0.275;0.028;0.247;0.029;22.00746799
0.0001;9;0.188;0.024;0.164;0.028;20.40633702
0.001;9;0.159;0.027;0.132;0.075;26.51988816
0.01;9;0.173;0.06;0.113;0.282;42.09405422
1.00E-05;11;0.17;0.025;0.145;0.025;43.10233974
0.0001;11;0.132;0.031;0.101;0.035;40.85235023
0.001;11;0.165;0.057;0.108;0.103;40.47631121
0.01;11;0.18;0.05;0.13;0.267;59.23009396
1.00E-05;13;0.176;0.017;0.159;0.017;69.74797773
0.0001;13;0.205;0.026;0.179;0.03;73.30958509
0.001;13;0.178;0.019;0.159;0.052;64.66144538
0.01;13;0.186;0.05;0.136;0.263;54.82259965
1.00E-05;15;0.138;0.02;0.118;0.02;36.57091093
0.0001;15;0.232;0.035;0.197;0.038;24.4354012
0.001;15;0.236;0.03;0.206;0.061;41.31784368
0.01;15;0.247;0.072;0.175;0.298;35.24761248
1.00E-05;17;0.33;0.042;0.288;0.043;21.99500847
0.0001;17;0.293;0.045;0.248;0.049;22.97907591
0.001;17;0.217;0.026;0.191;0.058;24.7575345
0.01;17;0.251;0.073;0.178;0.3;21.80179977
1.00E-05;19;0.232;0.041;0.191;0.042;27.03484607
0.0001;19;0.291;0.043;0.248;0.046;26.1602087
0.001;19;0.18;0.029;0.151;0.064;26.20119405
0.01;19;0.207;0.044;0.163;0.278;22.99723005
1.00E-05;21;0.256;0.037;0.219;0.037;23.31225014
0.0001;21;0.323;0.059;0.264;0.062;22.06752706
0.001;21;0.286;0.046;0.24;0.079;22.10906935
0.01;21;0.258;0.091;0.167;0.325;21.97517896
1.00E-05;23;0.371;0.097;0.274;0.097;23.50711107
0.0001;23;0.231;0.068;0.163;0.071;24.04073381
0.001;23;0.261;0.095;0.166;0.134;22.18427062
0.01;23;0.265;0.112;0.153;0.347;22.77520418
1.00E-05;25;0.296;0.065;0.231;0.065;25.01140952
0.0001;25;0.322;0.091;0.231;0.094;43.76713133
0.001;25;0.251;0.107;0.144;0.135;33.75958586
0.01;25;0.352;0.199;0.153;0.416;28.55999207
